geoid,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
01242,1289553,25165,0.498,0.01,42.333734,-73.249199,2017
01243,48260334,57174,18.633,0.022000000000000002,42.350122,-73.024112,2017
01244,6345196,70886,2.45,0.027000000000000003,42.118094,-73.257497,2017
01245,72481256,2048210,27.985,0.7909999999999999,42.186893,-73.223105,2017
01247,136067563,1474691,52.536,0.569,42.698526,-73.0843,2017
01253,47370578,1047605,18.29,0.40399999999999997,42.206683,-73.113214,2017
01254,37764321,148218,14.581,0.057,42.382019,-73.365492,2017
01255,134222455,2914729,51.824,1.125,42.107496000000005,-73.118607,2017
01256,92878793,452282,35.861,0.175,42.594165999999994,-73.02232,2017
01257,93810157,2222467,36.22,0.858,42.085244,-73.367483,2017
01258,66892284,399783,25.826999999999998,0.154,42.10928,-73.462886,2017
01259,65561659,2041637,25.313000000000002,0.7879999999999999,42.075469,-73.234376,2017
01260,6503634,101867,2.511,0.039,42.295696,-73.342543,2017
01262,31175833,2127512,12.037,0.821,42.292202,-73.319209,2017
01264,29375249,90081,11.342,0.035,42.231590000000004,-73.202428,2017
01266,67478485,780826,26.054000000000002,0.301,42.312354,-73.388044,2017
01267,141208669,342264,54.521,0.132,42.671617,-73.246981,2017
01270,82502023,420999,31.854,0.163,42.515271999999996,-73.031166,2017
01301,66034130,1397303,25.496,0.54,42.626761,-72.60153000000001,2017
01330,86289951,631865,33.317,0.244,42.513946999999995,-72.821517,2017
01331,137853123,3588216,53.225,1.385,42.562408000000005,-72.19108,2017
01337,96461580,158967,37.244,0.061,42.689308000000004,-72.582249,2017
01338,8939561,12299,3.452,0.005,42.572604,-72.824306,2017
01339,142261831,627962,54.928000000000004,0.242,42.603776,-72.88964399999999,2017
01340,113408743,665699,43.787,0.257,42.694731,-72.71095600000001,2017
01341,92494679,446652,35.711999999999996,0.172,42.496937,-72.709414,2017
01342,46225730,2181543,17.848,0.8420000000000001,42.543889,-72.60945799999999,2017
01343,12606820,94167,4.868,0.036000000000000004,42.657625,-72.978933,2017
01344,35252177,1378696,13.610999999999999,0.532,42.613417999999996,-72.426428,2017
01346,55312655,95459,21.355999999999998,0.037000000000000005,42.693267999999996,-72.823116,2017
01347,1497726,221070,0.578,0.085,42.559294,-72.518753,2017
01349,19913665,548465,7.689,0.212,42.563061,-72.48211500000001,2017
01350,27739754,290998,10.71,0.11199999999999999,42.727771999999995,-72.98534599999999,2017
01351,54184370,1126535,20.921,0.435,42.53988,-72.521689,2017
01354,35664112,2664234,13.77,1.0290000000000001,42.624101,-72.508607,2017
01355,122669023,35757840,47.363,13.806,42.458551,-72.327191,2017
01360,88740952,2814933,34.263000000000005,1.087,42.677091,-72.453876,2017
01364,101615809,2843803,39.234,1.0979999999999999,42.605437,-72.292074,2017
01366,104578990,1454150,40.378,0.561,42.475621000000004,-72.192468,2017
01367,68716295,1772428,26.531999999999996,0.684,42.695532,-72.909148,2017
01368,108362244,1836500,41.839,0.7090000000000001,42.679456,-72.176935,2017
01370,129008495,1466298,49.81,0.5660000000000001,42.593376,-72.726927,2017
01373,62597988,1469902,24.169,0.568,42.475481,-72.615403,2017
01375,36831455,1348186,14.220999999999998,0.521,42.466691,-72.546751,2017
01376,7142833,1472747,2.758,0.569,42.595279999999995,-72.555002,2017
01378,88126714,814990,34.025999999999996,0.315,42.673533,-72.353213,2017
01379,78225279,969191,30.203000000000003,0.374,42.556309999999996,-72.40714799999999,2017
01420,78529495,1773646,30.32,0.685,42.584925,-71.816862,2017
01430,95694905,6792336,36.948,2.623,42.657005,-71.92344200000001,2017
01431,61290097,1000255,23.664,0.386,42.676293,-71.832523,2017
