state,geoid,name,lowest_grade_provided,highest_grade_provided,land_area_meters_sq,water_area_meters_sq,land_area_miles_sq,water_area_miles_sq,latitude,longitude,year
MT,3005910,Cascade High School District,9,12,2414843530,16587635,932.3760000000001,6.405,47.074847,-111.688368,2017
MT,3006115,Charlo High School District,9,12,823034884,13635854,317.776,5.265,47.350275,-114.310281,2017
MT,3006270,Chinook High School District,9,12,4313607005,9796471,1665.493,3.782,48.531584,-109.238565,2017
MT,3006330,Choteau High School District,9,12,3877973829,34332816,1497.2939999999999,13.255999999999998,47.881235,-112.462273,2017
MT,3006810,Circle High School District,9,12,6843265262,103091384,2642.2,39.804,47.629628000000004,-105.757222,2017
MT,3007080,Colstrip High School District,9,12,1616448869,864250,624.114,0.33399999999999996,45.845051,-106.64607,2017
MT,3007140,Columbia Falls High School District,9,12,8403973872,200609573,3244.7929999999997,77.456,48.322266,-113.75341499999999,2017
MT,3007200,Columbus High School District,9,12,898609868,8868918,346.955,3.424,45.643213,-109.26793,2017
MT,3007320,Conrad High School District,9,12,1337793716,1369744,516.525,0.529,48.227743,-111.95378899999999,2017
MT,3007860,Culbertson High School District,9,12,524492158,4631932,202.50799999999998,1.788,48.189467,-104.484254,2017
MT,3007930,Custer County High School District,9,12,9798723679,25612456,3783.309,9.889,46.261414,-105.550352,2017
MT,3008190,Cut Bank High School District,9,12,1644256579,12414988,634.851,4.793,48.704068,-112.41776399999999,2017
MT,3008340,Dawson High School District,9,12,4242008218,28708223,1637.849,11.084000000000001,47.132754,-104.846745,2017
MT,3008850,Denton High School District,9,12,1483225109,1494712,572.6759999999999,0.5770000000000001,47.408826,-109.84211,2017
MT,3009210,Drummond High School District,9,12,1482828483,1292209,572.523,0.499,46.632183000000005,-113.41341299999999,2017
MT,3010170,Fairfield High School District,9,12,700320304,18200700,270.395,7.027,47.611995,-112.04693600000002,2017
MT,3010290,Fairview High School District,9,12,1524796362,15614637,588.727,6.029,47.983216,-104.44722800000001,2017
MT,3010530,Fergus High School District,9,12,2145652211,1142023,828.441,0.441,47.095076,-109.412227,2017
